"country","date","month","year","value","min","based_value"
"Brunei",Mar 2021,"03","2021",0.453842519816254,0.396623706594903,1.14426473322179
"Brunei",Apr 2021,"04","2021",0.501962361966065,0.396623706594903,1.26558839933073
"Brunei",May 2021,"05","2021",0.533108272667996,0.396623706594903,1.34411600669269
"Brunei",Jun 2021,"06","2021",0.573127031983719,0.396623706594903,1.44501456280597
"Brunei",Jul 2021,"07","2021",0.66679088654726,0.396623706594903,1.68116750325339
"Brunei",Aug 2021,"08","2021",2.60183381872239,0.396623706594903,6.55995538204127
"Brunei",Sep 2021,"09","2021",10.8502501811499,0.396623706594903,27.3565346718721
"Brunei",Oct 2021,"10","2021",23.6339506058595,0.396623706594903,59.5878416062465
"Brunei",Nov 2021,"11","2021",32.5661416176933,0.396623706594903,82.1084092458326
"Brunei",Dec 2021,"12","2021",35.069086186796,0.396623706594903,88.4190369957241
"Bulgaria",Jan 2021,"01","2021",30.411566440289,30.411566440289,1
"Bulgaria",Feb 2021,"02","2021",33.3684730900223,30.411566440289,1.09722967264902
"Bulgaria",Mar 2021,"03","2021",41.8402734294763,30.411566440289,1.37580132584183
"Bulgaria",Apr 2021,"04","2021",54.6995478844547,30.411566440289,1.79864289436894
"Bulgaria",May 2021,"05","2021",59.4865237775758,30.411566440289,1.95604931743235
"Bulgaria",Jun 2021,"06","2021",60.5236375428843,30.411566440289,1.99015192662694
"Bulgaria",Jul 2021,"07","2021",60.8834387847139,30.411566440289,2.00198299236754
"Bulgaria",Aug 2021,"08","2021",62.8901583666004,30.411566440289,2.06796839913133
"Bulgaria",Sep 2021,"09","2021",68.8165049878066,30.411566440289,2.26283986794706
"Bulgaria",Oct 2021,"10","2021",78.5313604280781,30.411566440289,2.58228593986663
"Bulgaria",Nov 2021,"11","2021",94.7464312758706,30.411566440289,3.11547356371461
"Bulgaria",Dec 2021,"12","2021",103.771642200103,30.411566440289,3.41224258881409
"Burkina Faso",Jan 2021,"01","2021",0.425802949152513,0.425802949152513,1
"Burkina Faso",Feb 2021,"02","2021",0.551822200189983,0.425802949152513,1.29595673606369
"Burkina Faso",Mar 2021,"03","2021",0.59291672941471,0.425802949152513,1.39246740914972
"Burkina Faso",Apr 2021,"04","2021",0.624680333231308,0.425802949152513,1.46706436504168
"Burkina Faso",May 2021,"05","2021",0.640550869735637,0.425802949152513,1.50433638613951
"Burkina Faso",Jun 2021,"06","2021",0.643999472235886,0.425802949152513,1.51243544347839
"Burkina Faso",Jul 2021,"07","2021",0.647098692892461,0.425802949152513,1.51971397610186
"Burkina Faso",Aug 2021,"08","2021",0.654191267775507,0.425802949152513,1.53637091776269
"Burkina Faso",Sep 2021,"09","2021",0.669391024061713,0.425802949152513,1.57206760872375
"Burkina Faso",Oct 2021,"10","2021",0.69930998227847,0.425802949152513,1.64233240673961
"Burkina Faso",Nov 2021,"11","2021",0.735275427455286,0.425802949152513,1.72679740457112
