"country","date","month","year","covid_rate","death_rate"
"Cote d'Ivoire",Dec 2021,"12","2021",0.002,0
"Cote d'Ivoire",Feb 2021,"02","2021",0.001,0
"Cote d'Ivoire",Jan 2021,"01","2021",0.001,0
"Cote d'Ivoire",Jul 2021,"07","2021",0.002,0
"Cote d'Ivoire",Jun 2021,"06","2021",0.002,0
"Cote d'Ivoire",Mar 2021,"03","2021",0.001,0
"Cote d'Ivoire",May 2021,"05","2021",0.002,0
"Cote d'Ivoire",Nov 2021,"11","2021",0.002,0
"Cote d'Ivoire",Oct 2021,"10","2021",0.002,0
"Cote d'Ivoire",Sep 2021,"09","2021",0.002,0
"Croatia",Apr 2021,"04","2021",0.074,0.002
"Croatia",Aug 2021,"08","2021",0.09,0.002
"Croatia",Dec 2021,"12","2021",0.162,0.003
"Croatia",Feb 2021,"02","2021",0.058,0.001
"Croatia",Jan 2021,"01","2021",0.054,0.001
"Croatia",Jul 2021,"07","2021",0.088,0.002
