"month","country","value","date"
"04","Cuba",0.008,2021-04-01
"05","Cuba",0.011,2021-05-01
"06","Cuba",0.014,2021-06-01
"07","Cuba",0.024,2021-07-01
"08","Cuba",0.047,2021-08-01
"09","Cuba",0.068,2021-09-01
"10","Cuba",0.082,2021-10-01
"11","Cuba",0.085,2021-11-01
"12","Cuba",0.085,2021-12-01
"01","Cyprus",0.023,2021-01-01
"02","Cyprus",0.027,2021-02-01
"03","Cyprus",0.034,2021-03-01
"04","Cyprus",0.046,2021-04-01
"05","Cyprus",0.059,2021-05-01
"06","Cyprus",0.062,2021-06-01
"07","Cyprus",0.074,2021-07-01
"08","Cyprus",0.091,2021-08-01
"09","Cyprus",0.098,2021-09-01
"10","Cyprus",0.101,2021-10-01
"11","Cyprus",0.106,2021-11-01
"12","Cyprus",0.12,2021-12-01
"01","Czechia",0.081,2021-01-01
"02","Czechia",0.103,2021-02-01
"03","Czechia",0.131,2021-03-01
"04","Czechia",0.149,2021-04-01
"05","Czechia",0.154,2021-05-01
"06","Czechia",0.155,2021-06-01
"07","Czechia",0.156,2021-07-01
"08","Czechia",0.157,2021-08-01
"09","Czechia",0.157,2021-09-01
"10","Czechia",0.16,2021-10-01
"11","Czechia",0.18,2021-11-01
"12","Czechia",0.22,2021-12-01
"01","Denmark",0.793,2021-01-01
"02","Denmark",0.873,2021-02-01
"03","Denmark",0.943,2021-03-01
"04","Denmark",1.027,2021-04-01
"05","Denmark",1.135,2021-05-01
"06","Denmark",1.234,2021-06-01
"07","Denmark",1.298,2021-07-01
"08","Denmark",1.415,2021-08-01
"09","Denmark",1.507,2021-09-01
"10","Denmark",1.581,2021-10-01
"11","Denmark",1.855,2021-11-01
"12","Denmark",2.614,2021-12-01
"01","Djibouti",0.006,2021-01-01
"02","Djibouti",0.006,2021-02-01
"03","Djibouti",0.007,2021-03-01
"04","Djibouti",0.01,2021-04-01
"05","Djibouti",0.012,2021-05-01
"06","Djibouti",0.012,2021-06-01
"07","Djibouti",0.012,2021-07-01
"08","Djibouti",0.012,2021-08-01
"09","Djibouti",0.012,2021-09-01
"10","Djibouti",0.013,2021-10-01
"11","Djibouti",0.014,2021-11-01
"12","Djibouti",0.014,2021-12-01
"01","Dominica",0.001,2021-01-01
"02","Dominica",0.002,2021-02-01
"03","Dominica",0.002,2021-03-01
"04","Dominica",0.002,2021-04-01
"05","Dominica",0.002,2021-05-01
"06","Dominica",0.003,2021-06-01
"07","Dominica",0.003,2021-07-01
"08","Dominica",0.012,2021-08-01
"09","Dominica",0.036,2021-09-01
"10","Dominica",0.059,2021-10-01
"11","Dominica",0.075,2021-11-01
"12","Dominica",0.088,2021-12-01
"01","Dominican Republic",0.018,2021-01-01
"02","Dominican Republic",0.021,2021-02-01
"03","Dominican Republic",0.023,2021-03-01
"04","Dominican Republic",0.024,2021-04-01
"05","Dominican Republic",0.026,2021-05-01
"06","Dominican Republic",0.029,2021-06-01
"07","Dominican Republic",0.031,2021-07-01
"08","Dominican Republic",0.032,2021-08-01
"09","Dominican Republic",0.033,2021-09-01
"10","Dominican Republic",0.034,2021-10-01
"11","Dominican Republic",0.037,2021-11-01
"12","Dominican Republic",0.038,2021-12-01
"01","Ecuador",0.013,2021-01-01
"02","Ecuador",0.015,2021-02-01
"03","Ecuador",0.017,2021-03-01
"04","Ecuador",0.02,2021-04-01
"05","Ecuador",0.023,2021-05-01
"06","Ecuador",0.025,2021-06-01
"07","Ecuador",0.027,2021-07-01
"08","Ecuador",0.028,2021-08-01
"09","Ecuador",0.029,2021-09-01
"10","Ecuador",0.029,2021-10-01
"11","Ecuador",0.03,2021-11-01
"12","Ecuador",0.03,2021-12-01
"01","Egypt",0.002,2021-01-01
"02","Egypt",0.002,2021-02-01
"03","Egypt",0.002,2021-03-01
"04","Egypt",0.002,2021-04-01
"05","Egypt",0.002,2021-05-01
"06","Egypt",0.003,2021-06-01
"07","Egypt",0.003,2021-07-01
"08","Egypt",0.003,2021-08-01
"09","Egypt",0.003,2021-09-01
"10","Egypt",0.003,2021-10-01
"11","Egypt",0.003,2021-11-01
"12","Egypt",0.004,2021-12-01
"01","El Salvador",0.008,2021-01-01
"02","El Salvador",0.009,2021-02-01
"03","El Salvador",0.01,2021-03-01
"04","El Salvador",0.01,2021-04-01
"05","El Salvador",0.011,2021-05-01
"06","El Salvador",0.012,2021-06-01
"07","El Salvador",0.013,2021-07-01
"08","El Salvador",0.014,2021-08-01
"09","El Salvador",0.015,2021-09-01
"10","El Salvador",0.017,2021-10-01
"11","El Salvador",0.018,2021-11-01
"12","El Salvador",0.019,2021-12-01
"01","Equatorial Guinea",0.004,2021-01-01
"02","Equatorial Guinea",0.004,2021-02-01
"03","Equatorial Guinea",0.005,2021-03-01
"04","Equatorial Guinea",0.005,2021-04-01
"05","Equatorial Guinea",0.006,2021-05-01
"06","Equatorial Guinea",0.006,2021-06-01
"07","Equatorial Guinea",0.006,2021-07-01
"08","Equatorial Guinea",0.006,2021-08-01
"09","Equatorial Guinea",0.008,2021-09-01
"10","Equatorial Guinea",0.009,2021-10-01
"11","Equatorial Guinea",0.01,2021-11-01
"12","Equatorial Guinea",0.01,2021-12-01
"01","Eritrea",0,2021-01-01
"02","Eritrea",0.001,2021-02-01
"03","Eritrea",0.001,2021-03-01
"04","Eritrea",0.001,2021-04-01
"05","Eritrea",0.001,2021-05-01
"06","Eritrea",0.001,2021-06-01
"07","Eritrea",0.002,2021-07-01
"08","Eritrea",0.002,2021-08-01
"09","Eritrea",0.002,2021-09-01
"10","Eritrea",0.002,2021-10-01
"11","Eritrea",0.002,2021-11-01
"12","Eritrea",0.002,2021-12-01
"01","Estonia",0.027,2021-01-01
"02","Estonia",0.04,2021-02-01
"03","Estonia",0.066,2021-03-01
"04","Estonia",0.087,2021-04-01
"05","Estonia",0.096,2021-05-01
"06","Estonia",0.098,2021-06-01
"07","Estonia",0.099,2021-07-01
"08","Estonia",0.104,2021-08-01
"09","Estonia",0.112,2021-09-01
"10","Estonia",0.13,2021-10-01
"11","Estonia",0.16,2021-11-01
"12","Estonia",0.174,2021-12-01
"01","Eswatini",0.011,2021-01-01
"02","Eswatini",0.014,2021-02-01
"03","Eswatini",0.015,2021-03-01
"04","Eswatini",0.016,2021-04-01
"05","Eswatini",0.016,2021-05-01
"06","Eswatini",0.016,2021-06-01
"07","Eswatini",0.018,2021-07-01
"08","Eswatini",0.031,2021-08-01
"09","Eswatini",0.039,2021-09-01
"10","Eswatini",0.04,2021-10-01
"11","Eswatini",0.04,2021-11-01
"12","Eswatini",0.049,2021-12-01
"01","Ethiopia",0.001,2021-01-01
"02","Ethiopia",0.001,2021-02-01
"03","Ethiopia",0.002,2021-03-01
"04","Ethiopia",0.002,2021-04-01
