"month","year","country","value","date","log_value"
"11","2021","Benin",2.04790848091403,Nov 2021,0.716819019125069
"12","2021","Benin",2.05413966970463,Dec 2021,0.719857108077037
"01","2021","Bhutan",1.0574427093811,Jan 2021,0.0558534549446006
"02","2021","Bhutan",1.11931718458056,Feb 2021,0.112718842766332
"03","2021","Bhutan",1.12596285647826,Mar 2021,0.118638542031546
"04","2021","Bhutan",1.23853266494905,Apr 2021,0.213927344205085
"05","2021","Bhutan",1.70526955466336,May 2021,0.533723194816283
"06","2021","Bhutan",2.40345320359628,Jun 2021,0.876906538054691
"07","2021","Bhutan",3.05368250431062,Jul 2021,1.1163482407866
"08","2021","Bhutan",3.32717780773322,Aug 2021,1.20212443947157
"09","2021","Bhutan",3.36602679412278,Sep 2021,1.21373305596355
"10","2021","Bhutan",3.38884175951377,Oct 2021,1.22048819915172
"11","2021","Bhutan",3.40607282762148,Nov 2021,1.22555996416736
"12","2021","Bhutan",3.43658429031606,Dec 2021,1.23447803923334
"01","2021","Bolivia",15.9684041872328,Jan 2021,2.77061203157546
"02","2021","Bolivia",20.2044020818051,Feb 2021,3.00590050550683
"03","2021","Bolivia",22.3655109624517,Mar 2021,3.10752008314526
"04","2021","Bolivia",24.6138827091637,Apr 2021,3.20331062153052
"05","2021","Bolivia",28.6381759237055,May 2021,3.35474065024941
"06","2021","Bolivia",35.1296851342812,Jun 2021,3.55904650336484
"07","2021","Bolivia",39.3195453852112,Jul 2021,3.67172173328973
"08","2021","Bolivia",41.3620536377407,Aug 2021,3.72236388171753
"09","2021","Bolivia",42.4847426776146,Sep 2021,3.74914501565511
"10","2021","Bolivia",43.3962383188714,Oct 2021,3.77037276266951
"11","2021","Bolivia",44.9829260254558,Nov 2021,3.80628299611517
"12","2021","Bolivia",48.0669225310038,Dec 2021,3.87259425928238
"01","2021","Bosnia and Herzegovina",35.712035163568,Jan 2021,3.57548775140128
"02","2021","Bosnia and Herzegovina",38.4845903925005,Feb 2021,3.65025791162707
"03","2021","Bosnia and Herzegovina",45.0740185377817,Mar 2021,3.80830599487078
"04","2021","Bosnia and Herzegovina",56.9281819710448,Apr 2021,4.04179050799049
"05","2021","Bosnia and Herzegovina",61.5548270780279,May 2021,4.11992827486857
"06","2021","Bosnia and Herzegovina",62.382223116309,Jun 2021,4.13328034883108
"07","2021","Bosnia and Herzegovina",62.5690223608384,Jul 2021,4.13627030516131
"08","2021","Bosnia and Herzegovina",63.5352653572064,Aug 2021,4.15159511169938
"09","2021","Bosnia and Herzegovina",68.3534731461542,Sep 2021,4.22469237601436
"10","2021","Bosnia and Herzegovina",74.4281822578212,Oct 2021,4.30983466390271
"11","2021","Bosnia and Herzegovina",80.8198267808456,Nov 2021,4.39222231637713
"12","2021","Bosnia and Herzegovina",86.36260866141,Dec 2021,4.45855481201542
"01","2021","Botswana",7.63067405345994,Jan 2021,2.03217618391863
"02","2021","Botswana",10.8645845198229,Feb 2021,2.38550837274003
"03","2021","Botswana",14.9155199818931,Mar 2021,2.70240228037565
"04","2021","Botswana",18.6460426300962,Apr 2021,2.92563393215829
"05","2021","Botswana",21.4505480938884,May 2021,3.0657501972102
"06","2021","Botswana",26.3762292032105,Jun 2021,3.27246319557132
"07","2021","Botswana",36.8588227426814,Jul 2021,3.60709501311745
"08","2021","Botswana",58.6626200482508,Aug 2021,4.07180272754079
"09","2021","Botswana",71.7488970392813,Sep 2021,4.27317248224675
"10","2021","Botswana",77.7274876843912,Oct 2021,4.35320896166474
"11","2021","Botswana",82.1697762185723,Nov 2021,4.40878754854365
"12","2021","Botswana",85.934660829934,Dec 2021,4.45358724969982
"01","2021","Brazil",2811.93634606919,Jan 2021,7.94162861614134
"02","2021","Brazil",3296.05845838218,Feb 2021,8.10048262703172
"03","2021","Brazil",3887.95931983166,Mar 2021,8.26563970251933
"04","2021","Brazil",4589.73543975108,Apr 2021,8.43157766299498
"05","2021","Brazil",5216.01654958751,May 2021,8.55948927645182
"06","2021","Brazil",5875.84595992449,Jun 2021,8.67860532182497
"07","2021","Brazil",6434.51550774585,Jul 2021,8.76943182702419
"08","2021","Brazil",6799.92985351911,Aug 2021,8.82466757545204
"09","2021","Brazil",7041.82698114612,Sep 2021,8.85962292985141
"10","2021","Brazil",7215.80380735911,Oct 2021,8.88402887281396
"11","2021","Brazil",7325.22430316086,Nov 2021,8.89907905500836
"12","2021","Brazil",7403.87460950755,Dec 2021,8.90975873804317
"01","2021","Brunei",0.396623706594903,Jan 2021,-0.924767290111757
"02","2021","Brunei",0.419036690731819,Feb 2021,-0.869796795514754
"03","2021","Brunei",0.453842519816254,Mar 2021,-0.790005013766446
"04","2021","Brunei",0.501962361966065,Apr 2021,-0.689230138264478
"05","2021","Brunei",0.533108272667996,May 2021,-0.62903073723219
"06","2021","Brunei",0.573127031983719,Jun 2021,-0.556647890531727
"07","2021","Brunei",0.66679088654726,Jul 2021,-0.40527879564452
"08","2021","Brunei",2.60183381872239,Aug 2021,0.956216511303011
"09","2021","Brunei",10.8502501811499,Sep 2021,2.38418813789113
"10","2021","Brunei",23.6339506058595,Oct 2021,3.16268426325355
"11","2021","Brunei",32.5661416176933,Nov 2021,3.48327314796898
"12","2021","Brunei",35.069086186796,Dec 2021,3.55732000697758
"01","2021","Bulgaria",30.411566440289,Jan 2021,3.41482301105942
"02","2021","Bulgaria",33.3684730900223,Feb 2021,3.50761153474973
"03","2021","Bulgaria",41.8402734294763,Mar 2021,3.73385935485664
"04","2021","Bulgaria",54.6995478844547,Apr 2021,4.00185544402732
"05","2021","Bulgaria",59.4865237775758,May 2021,4.08574979576541
"06","2021","Bulgaria",60.5236375428843,Jun 2021,4.10303399192035
"07","2021","Bulgaria",60.8834387847139,Jul 2021,4.10896119659545
"08","2021","Bulgaria",62.8901583666004,Aug 2021,4.14138968670458
"09","2021","Bulgaria",68.8165049878066,Sep 2021,4.23144361424694
"10","2021","Bulgaria",78.5313604280781,Oct 2021,4.36349804091021
"11","2021","Bulgaria",94.7464312758706,Nov 2021,4.55120417861859
"12","2021","Bulgaria",103.771642200103,Dec 2021,4.64219273687602
"01","2021","Burkina Faso",0.425802949152513,Jan 2021,-0.85377860040181
"02","2021","Burkina Faso",0.551822200189983,Feb 2021,-0.594529385695849
"03","2021","Burkina Faso",0.59291672941471,Mar 2021,-0.522701312416743
"04","2021","Burkina Faso",0.624680333231308,Apr 2021,-0.470515226919419
"05","2021","Burkina Faso",0.640550869735637,May 2021,-0.445426738885538
"06","2021","Burkina Faso",0.643999472235886,Jun 2021,-0.440057372387613
"07","2021","Burkina Faso",0.647098692892461,Jul 2021,-0.435256456867702
"08","2021","Burkina Faso",0.654191267775507,Aug 2021,-0.424355511910216
"09","2021","Burkina Faso",0.669391024061713,Sep 2021,-0.401386899225626
"10","2021","Burkina Faso",0.69930998227847,Oct 2021,-0.357661169701711
"11","2021","Burkina Faso",0.735275427455286,Nov 2021,-0.307510118731832
"12","2021","Burkina Faso",0.797606033138022,Dec 2021,-0.226140496248244
"01","2021","Burma",2.45165301460011,Jan 2021,0.896762496885807
"02","2021","Burma",2.60065704872388,Feb 2021,0.955764124149024
"03","2021","Burma",2.61303940029383,Mar 2021,0.96051406499113
"04","2021","Burma",2.62122599961813,Apr 2021,0.963642147109341
"05","2021","Burma",2.63042241871902,May 2021,0.967144448774906
"06","2021","Burma",2.71365298681337,Jun 2021,0.998295692815348
"07","2021","Burma",4.08559983081888,Jul 2021,1.40746855494217
"08","2021","Burma",6.5131158247462,Aug 2021,1.87381796303061
"09","2021","Burma",8.04216424712066,Sep 2021,2.08469823193236
